 / ,blood,disease,condition,brain,infection,heart,gene,cell,abnormal,genetic,chromosome,bone,inflammation,muscle,health,do,eye,nerve,chronic,diagnosis,development,major,dna,liver,death,cancer,family,bacteria,acute,food,immune,genes,congenital,central,mouth,enzyme,joint,lungs,neck,autosomal,clinical,his,artery,abdomen,mutation,gland,medication,kidney,immune system,injury,affect,intestine,cord,blood pressure,benign,essential,nose,laboratory,hormone,chest,fever,cell t,male,breathing,genome,chromosomes,bone marrow,childhood,marrow,hospital,malignant,birth defect,colon,autosomal dominant,autosomal recessive,female,abdominal,arm,arms,ear,dominant,bacterial,nausea,biopsy,chromosome ,fat,leg,alcohol,amino acid,lymph,contrast,mental retardation,cranial,familial,feet,membrane,fetus,heart disease,healthy,lymph node
 / ,blood,disease,condition,brain,infection,heart,gene,cell,abnormal,genetic,chromosome,bone,inflammation,muscle,health,do,eye,nerve,chronic,diagnosis,development,major,liver,death,cancer,family,bacteria,acute,food,immune,genes,congenital,central,mouth,enzyme,joint,lungs,neck,autosomal,clinical,his,artery,abdomen,mutation,gland,medication,kidney,injury,affect,intestine,cord,benign,essential,nose,laboratory,hormone,chest,fever,male,breathing,genome,chromosomes,childhood,marrow,hospital,malignant,colon,female,abdominal,arm,arms,ear,dominant,bacterial,nausea,biopsy,fat,leg,alcohol,lymph,contrast,cranial,familial,feet,membrane,fetus,healthy,bile,bowel,mother,calcium,balance,microscope,doctor,foot,cardiac,cure,diabetes,metabolism,gastrointestinal
blood, 1.0, 0.07092374, 0.17402779, 0.18285316, 0.07904617, 0.20231065, 0.10532668, 0.030325534, 0.19431975, 0.08605782, 0.04203684, 0.17525187, 0.20708452, 0.17807211, -0.017896494, -0.034512095, 0.16580571, 0.19540009, 0.008019407, 0.06047369, -0.01501626, -0.0360421, 0.17445542, 0.074185014, -0.013698796, -0.018341515, 0.1561756, -0.024013175, 0.12231015, 0.11136326, 0.054891337, 0.051448632, 0.027955316, 0.09169524, 0.13232781, 0.058238663, 0.18916768, 0.05470195, 0.008926208, -0.11574452, -0.073940106, 0.09759931, 0.16586027, 0.086596966, 0.16668448, 0.09554058, 0.15356655, 0.07833763, 0.102751546, 0.1196037, -0.06396636, 0.05225187, 0.075839944, 0.12329293, 0.081834786, 0.18807285, 0.07910379, 0.06694194, 0.037366405, 0.16810007, 0.047000237, 0.00030047688, 0.047195632, -0.025741179, -0.033540554, 0.0097181685, 0.08352983, -0.019292697, 0.038628556, 0.049029343, 0.015283938, 0.09656234, 0.006724068, 0.07980014, 0.036375478, 0.057241276, 0.2667278, 0.1426918, 0.12525995, 0.09129805, 0.04584948, -0.0614671, -0.012987699, 0.16203834, 0.063872814, 0.1405203, 0.12210703, 0.08642954, 0.061188098, 0.029704249, 0.10639829, 0.0764584, 0.019249652, 0.19252403, 0.09937303, 0.06536701, 0.020065831, 0.16312374, 0.15624698, 0.06748588
disease, 0.07092374, 1.0, 0.32505158, 0.0646426, 0.21676672, -0.096156865, 0.08242749, 0.06507863, 0.12575759, 0.061289646, -0.0072334637, 0.018407004, 0.24429025, 0.054324992, 0.07342148, -0.053432014, -0.04842534, -0.060859248, 0.010790586, 0.10606613, 0.1025595, 0.059813913, -0.007717864, 0.17630982, 0.28635514, -0.0075182733, 0.015298721, 0.13426591, -0.06788946, 0.054294858, 0.08122454, 0.056049127, 0.050770126, -0.05177394, 0.10293147, -0.034280967, 0.09754633, 0.019104369, -0.04392653, 0.04988267, -0.08608132, -0.026113523, 0.021049673, 0.12997139, -0.00970139, -0.0064123063, -0.07993849, 0.23344047, 0.018757185, 0.032928374, -0.0580279, -0.005411675, 0.009297181, -0.04315393, -0.0040304116, 0.08549756, 0.011838565, 0.03681755, -0.042712085, -0.01505905, -0.00438179, 0.01731611, 0.050961345, 0.05329641, -0.08312095, 0.0014249441, 0.018895837, -0.020735726, 0.0058314446, -0.03170492, -0.018647062, -0.018849079, -0.036177643, 0.011343842, -0.0073685325, 0.045020297, 0.048199095, -0.018110178, 0.03404965, 0.07234903, 0.027976757, 0.040084857, 0.005469403, 0.054505914, -0.027702495, -0.008043405, 0.03350265, 0.021609623, -0.12422279, -0.047621183, 0.068356, 0.01011792, -0.0053446973, -0.0049349526, -0.0013760865, 0.06845294, 0.017631408, 0.23708275, 0.0626274, 0.033318907
condition, 0.17402779, 0.32505158, 0.99999994, 0.1651405, 0.28538105, 0.06170527, 0.14575318, 0.009677669, 0.1550269, 0.08232192, 0.09500194, 0.12003522, 0.21025969, 0.13117315, -0.008024589, 0.016741868, 0.1551206, 0.10090527, 0.06769004, 0.16445646, -0.015700933, -0.06414768, 0.121463604, 0.05274017, 0.104099914, 0.027052518, 0.12265633, 0.022122711, 0.06769886, 0.08801652, 0.10315713, 0.063108556, 0.023690194, 0.1802936, 0.1773686, 0.114443645, 0.18994197, 0.1361131, 0.00094825204, -0.18055813, -0.09909587, 0.041203473, 0.16194083, 0.19445106, 0.15899128, 0.18597668, 0.021548262, 0.21224004, 0.1063228, 0.16130555, 0.033975773, 0.07379193, 0.17689927, 0.17701145, -0.013879753, 0.12193753, 0.14988779, 0.16365896, -0.023084298, 0.12693341, 0.0021825922, 0.042820234, 0.04783694, 0.070431694, -0.06908424, -0.01901062, 0.08213368, -0.0028438617, 0.042096287, 0.031805318, 0.0078288615, 0.18691134, 0.009254647, 0.15122563, 0.005719237, 0.028310154, 0.06794203, 0.13346511, 0.11614939, 0.08215022, 0.008640533, 0.02105753, 0.019950911, 0.204599, 0.023093427, 0.08471122, 0.07010706, 0.061873164, 0.0688827, 0.08979092, 0.07189057, 0.019047977, 0.06644712, 0.35934737, 0.1723028, -0.032367554, 0.14745143, 0.08655967, 0.027480256, 0.029117482
brain, 0.18285316, 0.0646426, 0.1651405, 0.99999994, -0.049109727, 0.12813248, 0.22450629, 0.19482546, 0.11217737, 0.1679975, 0.07421839, 0.19846272, 0.24156515, 0.16719094, -0.08787913, -0.043629833, 0.15862581, 0.23625496, -0.026114596, 0.0039244066, 0.082616895, 0.023418631, 0.13505265, -0.008473055, -0.013607501, -0.0031543109, 0.22492886, -0.047574487, 0.12245027, 0.22511503, 0.23237133, 0.016707944, 0.08760669, 0.1139626, 0.16270192, 0.04084617, 0.1567945, 0.064051315, 0.04754384, -0.06287146, -0.03671952, 0.051178712, 0.13305928, 0.056387696, 0.113786615, -0.022353863, 0.046209753, -0.010927666, 0.09554024, 0.1609985, 0.11304338, 0.050162308, 0.02317175, 0.12072115, 0.022915788, 0.12092143, -0.007743436, -0.04485014, 0.0020551768, 0.12477693, 0.13804537, 0.07416967, 0.11049511, -0.012457208, -0.0800374, 0.054239813, 0.056606486, -0.06555233, -0.0056819734, 0.024854258, 0.0660997, 0.12796202, -0.024020992, 0.054045413, -0.028434576, -0.0038307693, 0.18349926, 0.09322203, 0.12543625, 0.055939995, 0.057635877, 0.10696212, -0.030561337, 0.07508863, 0.11180822, 0.09699426, 0.10554084, 0.0752165, 0.06718407, 0.05029388, 0.05422076, 0.081363946, 0.052758083, 0.06588016, 0.066738114, 0.077430926, 0.018808601, -0.020016761, 0.2008899, 0.06556222
infection, 0.07904617, 0.21676672, 0.28538105, -0.049109727, 1.0, -0.034790616, -0.018976046, 0.030322596, 0.15361282, -0.019778071, 0.008379296, 0.0865109, 0.13616215, 0.022395253, -0.040618695, -0.07985243, 0.18169673, 0.045331713, 0.013465836, 0.16358785, 0.009539928, -0.046269838, 0.09532039, 0.10801071, 0.09951795, -0.025624678, 0.18022126, 0.11961509, -0.024680972, 0.13720578, 0.0037334515, 0.024777364, 0.033524513, 0.15708658, 0.081472486, 0.055095494, 0.14421101, 0.08551348, 0.01256167, -0.093982525, -0.061914265, -0.0532949, 0.10167108, 0.17247002, 0.06482577, 0.11309673, 0.014636123, 0.33312386, -6.538618e-05, 0.10645037, 0.054710977, 0.0056815282, 0.10907031, 0.15774925, 0.1118843, -0.0038114747, 0.10441726, 0.2914756, -0.006113971, 0.060992423, 0.0061416007, -0.02283686, 0.023781575, 0.01287027, 0.0917703, 0.036086954, 0.062426634, 0.0057405895, 0.057806097, 0.0325685, -0.00075559557, 0.14762758, 0.016519992, 0.13231361, 0.05065339, 0.08166369, -0.053650875, 0.03667777, -0.006198204, 0.10970986, 0.011889924, 0.020453248, 0.0068306243, 0.13766852, 0.08918607, 0.08747611, -0.056396086, 0.08170826, 0.015566334, 0.031483974, -0.004754997, 0.04873923, 0.00838116, 0.2592803, 0.10886891, 0.017766796, 0.09347831, 0.06272003, -0.018627157, 0.097064525
heart, 0.20231065, -0.096156865, 0.06170527, 0.12813248, -0.034790616, 1.0, 0.008966716, -0.0036838783, 0.07911757, 0.048909534, 0.014225486, 0.10753356, 0.10259291, 0.025497299, -0.057486232, 0.005539942, 0.08793146, 0.15230712, 0.16558921, 0.0113804545, -0.00765301, 0.07761649, 0.38352713, 0.17190753, 0.0043572765, 0.008147479, 0.06372039, 0.061382946, 0.02989479, 0.11323729, 0.054150466, -0.07982888, 0.012750029, 0.060203444, 0.021002755, 0.09517236, 0.05437657, 0.02067678, 0.03769391, -0.09347758, -0.06280878, 0.3094712, 0.07025183, 0.039048456, 0.086537436, 0.024642173, 0.4084719, -0.07932273, 0.06316469, 0.07660445, 0.021955881, 0.025411822, -0.0015996875, 0.017144738, -0.03290464, 0.047852587, 0.0585765, -0.022169838, -0.028380053, 0.14754757, -0.010401977, 0.035071548, 0.04484901, 0.009341199, -0.045217276, 0.016760409, 0.048679303, -0.0486654, 0.025060657, -0.029034153, -0.007612188, 0.015339145, -0.014858506, 0.027321443, 0.0033926475, -0.049816176, 0.08399139, 0.120897144, 0.12117485, 0.039640304, -0.004708029, -0.054345734, 0.024389597, 0.08666334, 0.072561696, -0.004440192, 0.08648136, -0.0023677703, 0.15029845, 0.009333223, 0.119868994, 0.054312337, -0.017492637, 0.043352447, 0.07815312, 0.2614776, 0.059218008, 0.20171048, 0.0645723, 0.061048694
gene, 0.10532668, 0.08242749, 0.14575318, 0.22450629, -0.018976046, 0.008966716, 1.0, 0.1871645, 0.11966138, 0.35241538, 0.17821665, 0.103039704, 0.124277666, 0.06561903, -0.10445756, -0.083039805, 0.05810773, 0.09373338, -0.016269239, 0.038280636, 0.10907606, 0.014264895, 0.09290018, 0.031187784, 0.15260918, 0.0073501924, 0.12512015, -0.058171246, 0.07058158, 0.14247443, 0.34483868, 0.061870035, 0.0059708315, 0.007759293, 0.16935663, 0.02845253, 0.08687648, -0.0032350544, 0.100621626, -0.039614085, 0.0018907757, 0.035570156, 0.06413331, 0.14780074, 0.13404378, -0.03495029, 0.017459124, -0.029813971, 0.04148456, 0.08532737, 0.051328443, 0.08241606, -0.0052499464, 0.017030766, 0.07268904, 0.20857471, 0.013389087, -0.023203133, 0.0912621, -0.020537315, 0.16912273, 0.11887579, 0.056935325, 0.05464901, -0.09942196, 0.075409025, 0.07314879, 0.004829566, 0.010967982, 0.024537463, -0.002521447, 0.08139004, 0.06186119, 0.04256534, -0.04478457, 0.038923096, 0.16471049, 0.062177125, 0.024792813, 0.05001629, 0.009446057, -0.013186173, 0.11022877, 0.04416962, 0.094337806, 0.040676903, 0.050538585, 0.026057132, 0.010632549, 0.051637817, -0.0070602377, 0.06329365, 0.031142883, 0.049187426, 0.051276073, -0.009883341, 0.05301294, 0.035969045, 0.07572823, -0.0226033
cell, 0.030325534, 0.06507863, 0.009677669, 0.19482546, 0.030322596, -0.0036838783, 0.1871645, 0.99999994, -0.014677457, 0.11108887, 0.08922154, 0.14604501, 0.18605764, 0.09027302, -0.14011464, -0.036601774, 0.042968195, 0.008816334, -0.03482772, 0.01549601, 0.0766097, 0.038381226, 0.11437843, -0.104993716, 0.1686003, -0.031697918, 0.20671925, -0.046706546, -0.031388927, 0.19512965, 0.17164397, 0.0018498593, 0.064563565, 0.025845364, 0.17327142, 0.026411142, 0.1104739, -0.01106965, 0.06887092, 0.026195087, -0.021038825, 0.034629826, 0.04625336, 0.08597893, 0.06689649, -0.025170883, 0.050327487, 0.013789278, -0.010723751, 0.1629395, 0.09965712, -0.028376969, 0.0059619932, 0.031360317, 0.059600573, 0.12580127, -0.018992065, -0.06080491, -0.004915258, 0.014437497, 0.12944278, 0.09338889, 0.048766173, 0.08324361, -0.080916926, 0.06228, 0.070099846, -0.0019273978, 0.016612738, 0.04531658, 0.07723454, 0.036103677, -0.012455092, 0.09771818, 0.012537059, 0.06523095, 0.059035663, -0.025972543, -0.00439475, 0.031853367, 0.010594594, 0.08277885, -0.04671971, 0.05155757, 0.08360804, 0.017500201, -0.071753584, 0.03142189, 0.041206207, 0.011545702, 0.0035410495, 0.038180258, 0.06517086, -0.017279167, -0.037328742, 0.07756469, 0.06881371, 0.018057844, 0.13742404, 0.042990874
abnormal, 0.19431975, 0.12575759, 0.1550269, 0.11217737, 0.15361282, 0.07911757, 0.11966138, -0.014677457, 1.0, 0.10523291, 0.0066917175, 0.09838292, 0.12750044, 0.10669322, -0.05895181, -0.024774209, 0.07210875, 0.10238622, 0.0470374, 0.11363726, -0.008762987, 0.016000157, 0.10046629, 0.035837583, 0.12025605, -0.005464208, 0.052650798, 0.047730017, -0.031252697, 0.108658396, 0.067357704, 0.056130458, 0.028060824, 0.03924039, 0.102070235, 0.040457465, 0.075429894, 0.0967834, 0.08686541, -0.05223387, -0.09131092, 0.04048143, 0.08743788, 0.07353287, 0.04062632, -0.027168965, 0.04570876, 0.14368756, 0.12859227, 0.062429756, -0.0019172536, 0.14677344, 0.03558039, 0.049920283, 0.13555643, 0.11017502, 0.09583438, 0.068939425, 0.038152624, 0.06432461, -0.016766172, 0.06168602, 0.05976514, 0.071875386, -0.013199612, 0.044816907, 0.041135594, 0.08552912, 0.06710439, -0.0055561136, 0.006852819, 0.0635137, 0.043695785, 0.08421187, 0.0055066105, 0.08027833, 0.0894914, 0.04862155, 0.015100389, 0.08911727, 0.029541174, 0.0123184, 0.062109273, 0.119596116, 0.046915367, 0.09581914, 0.08876611, 0.096759096, 0.051002886, -0.057878885, 0.07494237, 0.0038794705, 0.010930543, 0.11674412, 0.058553796, 0.118055746, 0.04437568, 0.08575909, 0.019973837, 0.078438535
